OrderID,Date,CustomerID,Category,PaymentMethod,ShippingStatus,Product,Price,Quantity
1001,2022-08-18,401.0,Beauty,Credit Card,Delivered,Makeup Kit,$358.76,9.0
1002,07/21/2023,343.0,Electronics,Cash,Pending,Smartphone,686.2094787515999,10.0
1003,05-Nov-2022,23.0,Clothing,PayPal,CANCELLED,T-shirt,1805.319415080301,9.0
1004,19-Jan-2022,7.0,Books,Check,Returned,Biography,1088.53665155253,4.0
1005,2022-12-21,106.0,Clothing,Bank Transfer,Pending,T-shirt,1211.00969558681,5.0
1006,14-Mar-2023,143.0,Home & Kitchen,Check,Delivered,Microwave,1143.66 USD,5.0
1007,2023-11-06,34.0,Home & Kitchen,Bank Transfer,Pending,Coffee Maker,1127.8866524560838,5.0
1008,06-Sep-2022,197.0,Electronics,PayPal,Shipped,Headphones,"€1250,70",10.0
1009,2022-11-13,404.0,Clothing,Credit Card,CANCELLED,Dress,625.2756123826626,6.0
1010,2023-02-12,55.0,Sports,PayPal,Shipped,Tennis Racket,590.3968508944996,4.0
1011,2022-04-24,207.0,Clothing,PayPal,Delivered,Dress,$1036.87,5.0
1012,10/11/2022,77.0,Home & Kitchen,Credit Card,CANCELLED,Toaster,1523.8533276644555,3.0
1013,01-Apr-2022,273.0,Beauty,Cash,Delivered,Shampoo,1117.1468451852434,4.0
1014,21-Aug-2022,477.0,Books,Bank Transfer,CANCELLED,Fiction,1417.8208281972697,3.0
1015,2022-06-16,245.0,Books,Cash,Returned,Non-fiction,"€1991,72",7.0
1016,2023-05-31,444.0,Books,Cash,Pending,Children's,1035.73 USD,7.0
1017,2023-08-06,481.0,Home & Kitchen,,Returned,Vacuum Cleaner,1972.6311574893432,6.0
1018,08/06/2023,471.0,Beauty,Cash,Shipped,Perfume,602.003087453202,4.0
1019,10-Mar-2023,484.0,,Bank Transfer,Delivered,Dumbbells,163.89236434291357,3.0
1020,06/11/2022,220.0,Books,Bank Transfer,CANCELLED,Non-fiction,1971.1046199782024,7.0
1021,2022-03-25,284.0,Beauty,PayPal,Delivered,Perfume,$273.59,
1022,07/08/2022,209.0,Electronics,Cash,Shipped,Camera,"€208,80",4.0
1023,01/31/2023,,Home & Kitchen,Check,CANCELLED,Blender,582.7666310381737,1.0
1024,05/08/2022,235.0,Electronics,Check,Delivered,Laptop,711.6876468678125,9.0
1025,2023-10-10,7.0,Sports,Cash,Returned,Dumbbells,1037.747819794027,5.0
1026,2022-09-23,449.0,Sports,Cash,Returned,Basketball,582.66 USD,6.0
1027,11/10/2023,160.0,Electronics,Cash,Shipped,Tablet,1747.5258780621252,3.0
1028,2022-12-01,442.0,Books,Credit Card,Pending,Biography,1067.928035327647,10.0
1029,04/07/2023,,Sports,Check,Shipped,Tennis Racket,"€456,33",10.0
1030,11/27/2023,80.0,,Credit Card,Returned,Makeup Kit,987.3003466015963,8.0
1031,01/16/2023,358.0,Sports,Cash,Shipped,Dumbbells,$1668.39,1.0
